date,amount,category,merchant,description
2025-04-11,783.83,Groceries,Vegetable Market,Groceries - Vegetable Market
2025-04-11,605.98,Food,Zomato,Food - Zomato
2025-04-11,594.02,Food,Swiggy,Food - Swiggy
2025-04-11,2265.13,Groceries,Vegetable Market,Groceries - Vegetable Market
2025-04-11,386.43,Food,Starbucks,Food - Starbucks
2025-04-11,397.35,Food,Domino's,Food - Domino's
2025-04-11,183.26,Transport,Metro Card,Transport - Metro Card
2025-04-11,1088.29,Transport,Rapido,Transport - Rapido
2025-04-11,1103.35,Groceries,Vegetable Market,Groceries - Vegetable Market
2025-04-11,482.7,Entertainment,Amazon Prime,Entertainment - Amazon Prime
2025-04-12,2415.12,Food,Local Restaurant,Food - Local Restaurant
2025-04-12,818.01,Food,Street Food,Food - Street Food
2025-04-12,1214.79,Groceries,Local Grocery,Groceries - Local Grocery
2025-04-12,1078.67,Food,Zomato,Food - Zomato
2025-04-12,984.05,Groceries,Local Grocery,Groceries - Local Grocery
2025-04-12,1278.93,Bills,Gas Connection,Bills - Gas Connection
2025-04-12,598.87,Food,Swiggy,Food - Swiggy
2025-04-12,1992.46,Groceries,BigBasket,Groceries - BigBasket
2025-04-12,1900.1,Transport,Ola,Transport - Ola
2025-04-12,1219.97,Food,Domino's,Food - Domino's
2025-04-12,1877.79,Other,Miscellaneous,Other - Miscellaneous
2025-04-13,1043.82,Food,Haldirams,Food - Haldirams
2025-04-13,405.54,Food,Cafe Coffee Day,Food - Cafe Coffee Day
2025-04-13,214.62,Transport,Uber,Transport - Uber
2025-04-13,4216.02,Travel,Hotel,Travel - Hotel
2025-04-13,656.72,Healthcare,1mg,Healthcare - 1mg
2025-04-13,898.59,Food,Street Food,Food - Street Food
2025-04-13,2556.32,Groceries,Vegetable Market,Groceries - Vegetable Market
2025-04-13,838.49,Utilities,Home Maintenance,Utilities - Home Maintenance
2025-04-13,491.78,Food,Haldirams,Food - Haldirams
2025-04-13,631.96,Personal Care,Body Shop,Personal Care - Body Shop
2025-04-13,1163.96,Food,Domino's,Food - Domino's
2025-04-13,854.37,Transport,Toll Plaza,Transport - Toll Plaza
2025-04-13,1046.65,Groceries,Local Grocery,Groceries - Local Grocery
2025-04-13,799.51,Personal Care,Nykaa,Personal Care - Nykaa
2025-04-13,1579.0,Groceries,DMart,Groceries - DMart
2025-04-13,1964.32,Utilities,Gas Cylinder,Utilities - Gas Cylinder
2025-04-13,1642.13,Bills,Airtel,Bills - Airtel
2025-04-14,254.17,Food,Street Food,Food - Street Food
2025-04-14,2919.15,Bills,Gas Connection,Bills - Gas Connection
2025-04-14,1326.89,Gifts,Amazon Gift,Gifts - Amazon Gift
2025-04-14,608.56,Transport,Rapido,Transport - Rapido
2025-04-14,417.37,Food,Domino's,Food - Domino's
2025-04-14,8780.53,Investments,SIP Payment,Investments - SIP Payment
2025-04-14,1843.9,Personal Care,Salon,Personal Care - Salon
2025-04-14,1892.36,Gifts,Amazon Gift,Gifts - Amazon Gift
2025-04-14,595.18,Transport,Indian Railways,Transport - Indian Railways
2025-04-15,859.74,Personal Care,Grooming Products,Personal Care - Grooming Products
2025-04-15,136.98,Food,Starbucks,Food - Starbucks
2025-04-15,804.27,Transport,Uber,Transport - Uber
2025-04-15,647.98,Food,Street Food,Food - Street Food
2025-04-15,622.75,Transport,Toll Plaza,Transport - Toll Plaza
2025-04-15,1081.68,Bills,Jio,Bills - Jio
2025-04-15,3396.53,Other,Transfer,Other - Transfer
2025-04-15,1667.79,Other,ATM Withdrawal,Other - ATM Withdrawal
2025-04-15,293.07,Transport,Parking,Transport - Parking
2025-04-15,712.2,Transport,Petrol Pump,Transport - Petrol Pump
2025-04-16,545.05,Transport,Indian Railways,Transport - Indian Railways
2025-04-16,1300.43,Gifts,Ferns N Petals,Gifts - Ferns N Petals
2025-04-16,1403.96,Bills,Vi,Bills - Vi
2025-04-16,2470.51,Other,ATM Withdrawal,Other - ATM Withdrawal
2025-04-16,581.52,Utilities,Gas Cylinder,Utilities - Gas Cylinder
2025-04-16,453.17,Transport,Metro Card,Transport - Metro Card
2025-04-16,2730.22,Groceries,DMart,Groceries - DMart
2025-04-16,879.9,Groceries,Zepto,Groceries - Zepto
2025-04-16,5369.18,Travel,MakeMyTrip,Travel - MakeMyTrip
2025-04-16,1588.4,Transport,Metro Card,Transport - Metro Card
2025-04-16,799.66,Food,Zomato,Food - Zomato
2025-04-17,1787.01,Groceries,JioMart,Groceries - JioMart
2025-04-17,442.86,Entertainment,BookMyShow,Entertainment - BookMyShow
2025-04-17,5627.58,Investments,Mutual Fund,Investments - Mutual Fund
2025-04-17,331.84,Food,Local Restaurant,Food - Local Restaurant
2025-04-17,5716.98,Investments,SIP Payment,Investments - SIP Payment
2025-04-17,1804.77,Groceries,Blinkit,Groceries - Blinkit
2025-04-17,2408.5,Transport,Petrol Pump,Transport - Petrol Pump
2025-04-17,251.48,Food,Street Food,Food - Street Food
2025-04-17,1268.98,Entertainment,Amazon Prime,Entertainment - Amazon Prime
2025-04-17,1861.15,Groceries,Local Grocery,Groceries - Local Grocery
2025-04-18,3185.41,Gifts,Flower Delivery,Gifts - Flower Delivery
2025-04-18,1491.51,Groceries,Local Grocery,Groceries - Local Grocery
2025-04-18,743.75,Groceries,Vegetable Market,Groceries - Vegetable Market
2025-04-18,1973.14,Groceries,Blinkit,Groceries - Blinkit
2025-04-18,419.86,Transport,Rapido,Transport - Rapido
2025-04-19,2027.78,Groceries,JioMart,Groceries - JioMart
2025-04-19,1632.43,Healthcare,Hospital,Healthcare - Hospital
2025-04-19,338.6,Food,Starbucks,Food - Starbucks
2025-04-19,322.02,Transport,Parking,Transport - Parking
2025-04-19,2611.99,Other,Miscellaneous,Other - Miscellaneous
2025-04-19,1454.84,Groceries,Vegetable Market,Groceries - Vegetable Market
2025-04-19,1453.23,Bills,Electricity Board,Bills - Electricity Board
2025-04-19,414.99,Food,Domino's,Food - Domino's
2025-04-20,5569.22,Investments,Zerodha,Investments - Zerodha
2025-04-20,3051.9,Shopping,Croma,Shopping - Croma
2025-04-20,1547.81,Entertainment,YouTube Premium,Entertainment - YouTube Premium
2025-04-20,845.46,Personal Care,Nykaa,Personal Care - Nykaa
2025-04-20,789.24,Healthcare,Apollo Pharmacy,Healthcare - Apollo Pharmacy
2025-04-20,4681.89,Investments,Groww,Investments - Groww
2025-04-20,1621.7,Food,Cafe Coffee Day,Food - Cafe Coffee Day
2025-04-20,2782.66,Groceries,Vegetable Market,Groceries - Vegetable Market
2025-04-20,1015.31,Groceries,Blinkit,Groceries - Blinkit
